str	Força	Strength
change_energy	Custa VAL este combate	costs VAL for this battle
knightarcher	Arqueiro	Bowman
event_card2_1_txt	Escolha uma carta incomum	Choose a uncommon Card
event_upgrade_2_txt	Melhore duas cartas do baralho	Upgrade two cards in your deck
destiny	Destino	Destiny
potionless_hint	Não pode mais obter poções	You can no longer obtain potions
gnome_rifle_hint	Metódicos, continuarão a atacar disciplinadamente	Methodical, they will simply keep on loading and firing in a disciplined manner.
dex	Destreza	Dexterity
stat_elites1	Elites fracos mortos	Weak Elites Killed
amulet_1	Amuleto de Sobrevivência do Fogo	Fire Amulet of Survival
extrax_hint	Quando jogar uma carta de custo X, os seus efeitos são aumentados por VAL	Whenever you play a cost X card, its effects are increased by VAL
intend_dmg	Atacando	attacking
airgolem_hint	Ar puro selado por magia para andar entre os vivos	Pure air sealed by magic to walk amongst the living
change_hand_ctype_1_true	Mude um ataque	Change one Attack
elf	Elfo	Elf
event_relic3_1_txt	Receba uma Relíquia rara aleatória	Receive a random rare Relic
missing_hp_to_dmg	Faça dano igual ao HP em falta	Deal damage equal to missing HP
renekton	Renecton	Renecton
dmgmultiply3	O dano de ataque é triplicado	Attack damage is Tripled
goblin_elder_hint	Um velho xamã, pode evocar feitiços poderosos	An elder shaman. He can cast powerful spells.
helm_7	Capacete  	Just Helm
event_empty_hand	Quando não tiver cartas	Whenever you have no cards
vampire	Vampiro	Vampire
resize	redimensionar	Resize
set02_armor	Super Armadura	Super Armor
poisonMlt2	Duplique o Veneno de um inimigo	Double an enemy's Poison
event_relic4_1_txt	Receba uma Relíquia de Chefe aleatória	Receive a random Boss Relic
question_victory	Vitória?	Victory?
ring13	Anel da Terra de Veneno	Earth Ring of Poison
shield_5	Escudo de madeira vermelha	Redwood Shield
intangible_hint	Reduz todo o dano ao HP que receber para 1	Reduces all damage and HP loss you take to 1
hand_discard_all_false	Descarte todas as cartas	Discard all Cards
beast_spear	Lança da Besta	Beast Spear
event_relic_txt	Receba VAL	Receive VAL
event_heal_txt	Cure VAL HP	Heal for VAL HP
hero_shiva	Shiva	Shiva
